miRBase,CID,Correlation
MIMAT0004605,60750,1
MIMAT0000544,5757,1
MIMAT0000544,8490,1
MIMAT0000544,210332,1
MIMAT0004605,5793,1
MIMAT0004605,5311,1
MIMAT0000209,8490,1
MIMAT0000242,5793,1
MIMAT0000242,444732,1
MIMAT0005892,3385,1
MIMAT0000141,12967,1
MIMAT0000141,210332,1
MIMAT0000425,241,1
MIMAT0000425,712,1
MIMAT0000425,451668,1
MIMAT0000425,5994,1
MIMAT0000836,6440495,1
MIMAT0000387,12967,1
MIMAT0000691,448537,1
MIMAT0000691,712,1
MIMAT0000691,47725,1
MIMAT0000691,119307,1
MIMAT0000837,5743,1
MIMAT0000837,6440495,1
MIMAT0001827,74483,1
MIMAT0000426,3385,1
MIMAT0000426,60750,1
MIMAT0000426,5311,1
MIMAT0000426,5288826,1
MIMAT0000426,14888,1
MIMAT0000838,6440495,1
MIMAT0000838,5280445,1
MIMAT0000838,16132265,1
MIMAT0000145,444732,1
MIMAT0000145,5281004,1
MIMAT0000145,702,1
MIMAT0009834,89594,1
MIMAT0000145,9064,1
MIMAT0000145,108065,1
MIMAT0000145,60823,1
MIMAT0000145,210332,1
MIMAT0000427,5793,1
MIMAT0000427,241,1
MIMAT0000427,60852,1
MIMAT0000427,5394,1
MIMAT0001830,74483,1
MIMAT0000427,3385,1
MIMAT0003473,6410,1
MIMAT0003473,210332,1
MIMAT0000427,60750,1
MIMAT0000769,9064,1
MIMAT0000769,10621,1
MIMAT0000769,108065,1
MIMAT0000770,5793,1
MIMAT0000770,5288826,1
MIMAT0000770,14888,1
MIMAT0000770,5280795,1
MIMAT0001831,5288826,1
MIMAT0001831,74483,1
MIMAT0001831,446220,1
MIMAT0001832,74483,1
MIMAT0000146,8490,1
MIMAT0000146,210332,1
MIMAT0000447,123631,1
MIMAT0000447,54670067,1
MIMAT0000447,5311,1
MIMAT0000447,6013,1
MIMAT0000447,5280453,1
MIMAT0000447,47725,1
MIMAT0000428,3220,1
MIMAT0000428,5793,1
MIMAT0000428,54670067,1
MIMAT0000428,47725,1
MIMAT0000428,5394,1
MIMAT0000428,119307,1
MIMAT0004531,10621,1
MIMAT0004531,442428,1
MIMAT0004595,5280453,1
MIMAT0004595,6013,1
MIMAT0004531,443586,1
MIMAT0000428,448537,1
MIMAT0004595,97226,1
MIMAT0000611,444254,1
MIMAT0000612,31703,1
MIMAT0000612,16741,1
MIMAT0000612,12967,1
MIMAT0000612,210332,1
MIMAT0000758,3220,1
MIMAT0000758,5793,1
MIMAT0000758,3385,1
MIMAT0000758,969516,1
MIMAT0000758,31703,1
MIMAT0000842,3028194,1
MIMAT0000842,3121,1
MIMAT0004532,6410,1
MIMAT0004733,8029,1
MIMAT0000149,969516,1
MIMAT0000149,8490,1
MIMAT0000429,3220,1
MIMAT0000429,712,1
MIMAT0000429,119307,1
MIMAT0000429,3385,1
MIMAT0000429,5394,1
MIMAT0000843,89594,1
MIMAT0000429,60953,1
